[INFO ] [2021-05-30 09:26:51,771] Pre-condition: Initial browser driver
[INFO ] [2021-05-30 16:02:35,263] Pre-condition: Initial browser driver
[INFO ] [2021-05-30 16:02:54,099] Post-condition: Close browser
[INFO ] [2021-05-30 16:05:55,651] Pre-condition: Initial browser driver
[INFO ] [2021-05-30 16:06:14,641] Post-condition: Close browser
[INFO ] [2021-06-03 17:51:03,044] Pre-condition: Initial browser driver
[INFO ] [2021-06-03 17:51:16,514] Login_01_Register_To_System: STEP 01 - Open home page
[INFO ] [2021-06-03 17:51:16,727] Login_01_Register_To_System: STEP 02 - Click on register link
[INFO ] [2021-06-03 17:51:17,825] Login_01_Register_To_System: STEP 03 - Select gender
[INFO ] [2021-06-03 17:51:18,136] Login_01_Register_To_System: STEP 04 - Enter first name
[INFO ] [2021-06-03 17:51:18,282] Login_01_Register_To_System: STEP 05 - Enter last name
[INFO ] [2021-06-03 17:51:18,383] Login_01_Register_To_System: STEP 06 - Enter email address
[INFO ] [2021-06-03 17:51:18,498] Login_01_Register_To_System: STEP 07 - Enter password
[INFO ] [2021-06-03 17:51:18,632] Login_01_Register_To_System: STEP 08 - Enter confirm password
[INFO ] [2021-06-03 17:51:18,734] Login_01_Register_To_System: STEP 09 - Click on register button
[INFO ] [2021-06-03 17:51:20,407] Login_01_Register_To_System: STEP 10 - Verify success message displayed after registered
[INFO ] [2021-06-03 17:51:23,112] Login_02_Login_To_System: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-03 17:51:24,500] Login_02_Login_To_System: STEP 02 - Login page - Enter email address
[INFO ] [2021-06-03 17:51:24,630] Login_02_Login_To_System: STEP 03 - Login page - Enter password
[INFO ] [2021-06-03 17:51:24,735] Login_02_Login_To_System: STEP 04 - Login page - Click on Login button
[INFO ] [2021-06-03 17:51:25,822] Post-condition: Close browser
[INFO ] [2021-06-03 17:52:28,095] Pre-condition: Initial browser driver
[INFO ] [2021-06-03 17:52:35,973] Login_01_Register_To_System: STEP 01 - Open home page
[INFO ] [2021-06-03 17:52:36,129] Login_01_Register_To_System: STEP 02 - Click on register link
[INFO ] [2021-06-03 17:52:36,774] Login_01_Register_To_System: STEP 03 - Select gender
[INFO ] [2021-06-03 17:52:37,088] Login_01_Register_To_System: STEP 04 - Enter first name
[INFO ] [2021-06-03 17:52:37,198] Login_01_Register_To_System: STEP 05 - Enter last name
[INFO ] [2021-06-03 17:52:37,321] Login_01_Register_To_System: STEP 06 - Enter email address
[INFO ] [2021-06-03 17:52:37,451] Login_01_Register_To_System: STEP 07 - Enter password
[INFO ] [2021-06-03 17:52:37,576] Login_01_Register_To_System: STEP 08 - Enter confirm password
[INFO ] [2021-06-03 17:52:37,695] Login_01_Register_To_System: STEP 09 - Click on register button
[INFO ] [2021-06-03 17:52:39,490] Login_01_Register_To_System: STEP 10 - Verify success message displayed after registered
[INFO ] [2021-06-03 17:52:41,561] Login_02_Login_To_System: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-03 17:52:42,807] Login_02_Login_To_System: STEP 02 - Login page - Enter email address
[INFO ] [2021-06-03 17:52:42,934] Login_02_Login_To_System: STEP 03 - Login page - Enter password
[INFO ] [2021-06-03 17:52:43,026] Login_02_Login_To_System: STEP 04 - Login page - Click on Login button
[INFO ] [2021-06-03 17:52:44,041] Post-condition: Close browser
[INFO ] [2021-06-03 17:54:31,574] Pre-condition: Initial browser driver
[INFO ] [2021-06-03 17:54:43,400] Login_01_Register_To_System: STEP 01 - Open home page
[INFO ] [2021-06-03 17:54:43,576] Login_01_Register_To_System: STEP 02 - Click on register link
[INFO ] [2021-06-03 17:54:45,042] Login_01_Register_To_System: STEP 03 - Select gender
[INFO ] [2021-06-03 17:54:45,333] Login_01_Register_To_System: STEP 04 - Enter first name
[INFO ] [2021-06-03 17:54:45,456] Login_01_Register_To_System: STEP 05 - Enter last name
[INFO ] [2021-06-03 17:54:45,561] Login_01_Register_To_System: STEP 06 - Enter email address
[INFO ] [2021-06-03 17:54:45,672] Login_01_Register_To_System: STEP 07 - Enter password
[INFO ] [2021-06-03 17:54:45,772] Login_01_Register_To_System: STEP 08 - Enter confirm password
[INFO ] [2021-06-03 17:54:45,868] Login_01_Register_To_System: STEP 09 - Click on register button
[INFO ] [2021-06-03 17:54:48,267] Login_01_Register_To_System: STEP 10 - Verify success message displayed after registered
[INFO ] [2021-06-03 17:54:49,633] Login_02_Login_To_System: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-03 17:54:50,400] Login_02_Login_To_System: STEP 02 - Login page - Enter email address
[INFO ] [2021-06-03 17:54:50,556] Login_02_Login_To_System: STEP 03 - Login page - Enter password
[INFO ] [2021-06-03 17:54:50,660] Login_02_Login_To_System: STEP 04 - Login page - Click on Login button
[INFO ] [2021-06-03 17:54:53,434] Post-condition: Close browser
[INFO ] [2021-06-03 17:59:50,626] Pre-condition: Initial browser driver
[INFO ] [2021-06-03 17:59:59,754] Login_01_Register_To_System: STEP 01 - Open home page
[INFO ] [2021-06-03 18:00:00,085] Login_01_Register_To_System: STEP 02 - Click on register link
[INFO ] [2021-06-03 18:00:02,062] Login_01_Register_To_System: STEP 03 - Select gender
[INFO ] [2021-06-03 18:00:02,376] Login_01_Register_To_System: STEP 04 - Enter first name
[INFO ] [2021-06-03 18:00:02,490] Login_01_Register_To_System: STEP 05 - Enter last name
[INFO ] [2021-06-03 18:00:02,590] Login_01_Register_To_System: STEP 06 - Enter email address
[INFO ] [2021-06-03 18:00:02,719] Login_01_Register_To_System: STEP 07 - Enter password
[INFO ] [2021-06-03 18:00:02,836] Login_01_Register_To_System: STEP 08 - Enter confirm password
[INFO ] [2021-06-03 18:00:02,925] Login_01_Register_To_System: STEP 09 - Click on register button
[INFO ] [2021-06-03 18:00:05,321] Login_01_Register_To_System: STEP 10 - Verify success message displayed after registered
[INFO ] [2021-06-03 18:00:07,017] Login_02_Login_To_System: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-03 18:00:08,625] Login_02_Login_To_System: STEP 02 - Login page - Enter email address
[INFO ] [2021-06-03 18:00:08,728] Login_02_Login_To_System: STEP 03 - Login page - Enter password
[INFO ] [2021-06-03 18:00:08,836] Login_02_Login_To_System: STEP 04 - Login page - Click on Login button
[INFO ] [2021-06-03 18:00:10,081] Post-condition: Close browser
[INFO ] [2021-06-03 18:38:15,442] Pre-condition: Initial browser driver
[INFO ] [2021-06-03 18:38:29,367] Login_01_Register_To_System: STEP 01 - Open home page
[INFO ] [2021-06-03 18:38:29,530] Login_01_Register_To_System: STEP 02 - Click on register link
[INFO ] [2021-06-03 18:38:31,256] Login_01_Register_To_System: STEP 03 - Select gender
[INFO ] [2021-06-03 18:38:31,588] Login_01_Register_To_System: STEP 04 - Enter first name
[INFO ] [2021-06-03 18:38:31,753] Login_01_Register_To_System: STEP 05 - Enter last name
[INFO ] [2021-06-03 18:38:31,889] Login_01_Register_To_System: STEP 06 - Enter email address
[INFO ] [2021-06-03 18:38:31,989] Login_01_Register_To_System: STEP 07 - Enter password
[INFO ] [2021-06-03 18:38:32,105] Login_01_Register_To_System: STEP 08 - Enter confirm password
[INFO ] [2021-06-03 18:38:32,205] Login_01_Register_To_System: STEP 09 - Click on register button
[INFO ] [2021-06-03 18:38:33,842] Login_01_Register_To_System: STEP 10 - Verify success message displayed after registered
[INFO ] [2021-06-03 18:38:35,784] Login_02_Login_To_System: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-03 18:38:36,987] Login_02_Login_To_System: STEP 02 - Login page - Enter email address
[INFO ] [2021-06-03 18:38:37,119] Login_02_Login_To_System: STEP 03 - Login page - Enter password
[INFO ] [2021-06-03 18:38:37,219] Login_02_Login_To_System: STEP 04 - Login page - Click on Login button
[INFO ] [2021-06-03 18:38:39,256] Post-condition: Close browser
[INFO ] [2021-06-03 18:38:39,989] Pre-condition: Initial browser driver
[INFO ] [2021-06-03 18:38:45,211] Login_01_Register_To_System: STEP 01 - Open home page
[INFO ] [2021-06-03 18:38:45,455] Login_02_Login_To_System: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-03 18:38:45,671] Post-condition: Close browser
[INFO ] [2021-06-03 18:40:01,746] Pre-condition: Initial browser driver
[INFO ] [2021-06-03 18:40:16,247] Login_01_Register_To_System: STEP 01 - Open home page
[INFO ] [2021-06-03 18:40:16,378] Login_01_Register_To_System: STEP 02 - Click on register link
[INFO ] [2021-06-03 18:40:18,783] Login_01_Register_To_System: STEP 03 - Select gender
[INFO ] [2021-06-03 18:40:19,099] Login_01_Register_To_System: STEP 04 - Enter first name
[INFO ] [2021-06-03 18:40:19,200] Login_01_Register_To_System: STEP 05 - Enter last name
[INFO ] [2021-06-03 18:40:19,300] Login_01_Register_To_System: STEP 06 - Enter email address
[INFO ] [2021-06-03 18:40:19,438] Login_01_Register_To_System: STEP 07 - Enter password
[INFO ] [2021-06-03 18:40:19,538] Login_01_Register_To_System: STEP 08 - Enter confirm password
[INFO ] [2021-06-03 18:40:19,638] Login_01_Register_To_System: STEP 09 - Click on register button
[INFO ] [2021-06-03 18:40:22,130] Login_01_Register_To_System: STEP 10 - Verify success message displayed after registered
[INFO ] [2021-06-03 18:40:24,807] Login_02_Login_To_System: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-03 18:40:25,352] Login_02_Login_To_System: STEP 02 - Login page - Enter email address
[INFO ] [2021-06-03 18:40:25,453] Login_02_Login_To_System: STEP 03 - Login page - Enter password
[INFO ] [2021-06-03 18:40:25,553] Login_02_Login_To_System: STEP 04 - Login page - Click on Login button
[INFO ] [2021-06-03 18:40:27,492] Post-condition: Close browser
[INFO ] [2021-06-03 18:55:10,732] Pre-condition: Initial browser driver
[INFO ] [2021-06-03 18:55:20,349] Login_01_Register_To_System: STEP 01 - Open home page
[INFO ] [2021-06-03 18:55:20,578] Login_01_Register_To_System: STEP 02 - Click on register link
[INFO ] [2021-06-03 18:55:22,115] Login_01_Register_To_System: STEP 03 - Select gender
[INFO ] [2021-06-03 18:55:22,421] Login_01_Register_To_System: STEP 04 - Enter first name
[INFO ] [2021-06-03 18:55:22,544] Login_01_Register_To_System: STEP 05 - Enter last name
[INFO ] [2021-06-03 18:55:22,650] Login_01_Register_To_System: STEP 06 - Enter email address
[INFO ] [2021-06-03 18:55:22,751] Login_01_Register_To_System: STEP 07 - Enter password
[INFO ] [2021-06-03 18:55:22,853] Login_01_Register_To_System: STEP 08 - Enter confirm password
[INFO ] [2021-06-03 18:55:22,948] Login_01_Register_To_System: STEP 09 - Click on register button
[INFO ] [2021-06-03 18:55:25,337] Login_01_Register_To_System: STEP 10 - Verify success message displayed after registered
[INFO ] [2021-06-03 18:55:26,428] Login_02_Login_To_System: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-03 18:55:26,874] Login_02_Login_To_System: STEP 02 - Login page - Enter email address
[INFO ] [2021-06-03 18:55:26,978] Login_02_Login_To_System: STEP 03 - Login page - Enter password
[INFO ] [2021-06-03 18:55:27,088] Login_02_Login_To_System: STEP 04 - Login page - Click on Login button
[INFO ] [2021-06-03 18:55:28,969] Post-condition: Close browser
[INFO ] [2021-06-07 16:22:28,234] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 16:22:34,237] TC_01_Set_Cookies_And_Go_To_HomePage: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 16:22:34,651] Post-condition: Close browser
[INFO ] [2021-06-07 16:22:34,651] OS name = windows 10
[INFO ] [2021-06-07 16:22:34,652] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 16:24:52,683] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 16:25:00,857] TC_01_Set_Cookies_And_Go_To_HomePage: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 16:25:21,164] Post-condition: Close browser
[INFO ] [2021-06-07 16:25:21,165] OS name = windows 10
[INFO ] [2021-06-07 16:25:21,165] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 16:27:25,621] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 16:27:31,220] TC_01_Set_Cookies_And_Go_To_HomePage: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 16:27:31,838] Post-condition: Close browser
[INFO ] [2021-06-07 16:27:31,839] OS name = windows 10
[INFO ] [2021-06-07 16:27:31,839] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 16:30:18,602] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 16:30:24,598] TC_01_Set_Cookies_And_Go_To_HomePage: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 16:30:34,366] Post-condition: Close browser
[INFO ] [2021-06-07 16:30:34,366] OS name = windows 10
[INFO ] [2021-06-07 16:30:34,366] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 16:35:11,011] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 16:35:17,242] TC_01_Set_Cookies_And_Go_To_HomePage: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 16:35:17,579] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 16:35:17,579] OS name = windows 10
[INFO ] [2021-06-07 16:35:17,579] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 16:37:49,873] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 16:37:54,296] TC_01_Set_Cookies_And_Go_To_HomePage: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 16:37:54,622] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 16:37:54,622] OS name = windows 10
[INFO ] [2021-06-07 16:37:54,622] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 16:41:23,351] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 16:41:30,074] TC_01_Set_Cookies_And_Go_To_HomePage: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 16:41:30,379] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 16:41:30,379] OS name = windows 10
[INFO ] [2021-06-07 16:41:30,379] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 16:42:50,848] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 16:42:57,348] TC_01_Set_Cookies_And_Go_To_HomePage: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 16:42:57,702] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 16:42:57,702] OS name = windows 10
[INFO ] [2021-06-07 16:42:57,703] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 16:49:51,247] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 16:49:59,138] TC_01_Set_Cookies_And_Go_To_HomePage: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 16:49:59,480] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 16:49:59,480] OS name = windows 10
[INFO ] [2021-06-07 16:49:59,481] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 16:56:03,159] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 16:56:09,448] TC_01_Set_Cookies_And_Go_To_HomePage: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 16:56:09,799] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 16:56:09,799] OS name = windows 10
[INFO ] [2021-06-07 16:56:09,799] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 16:57:58,379] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 16:58:04,198] Pre-condition: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 16:58:04,432] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 16:58:04,433] OS name = windows 10
[INFO ] [2021-06-07 16:58:04,433] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 17:00:13,384] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 17:00:19,751] Pre-condition: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 17:00:19,902] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 17:00:19,902] OS name = windows 10
[INFO ] [2021-06-07 17:00:19,902] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 17:03:07,924] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 17:03:13,742] Pre-condition: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 17:03:13,920] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 17:03:13,921] OS name = windows 10
[INFO ] [2021-06-07 17:03:13,921] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 17:06:31,054] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 17:06:36,743] Pre-condition: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 17:06:36,921] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 17:06:36,921] OS name = windows 10
[INFO ] [2021-06-07 17:06:36,921] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 17:09:22,934] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 17:09:22,934] OS name = windows 10
[INFO ] [2021-06-07 17:09:22,934] 
[INFO ] [2021-06-07 17:09:54,440] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 17:09:58,794] Pre-condition: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 17:09:58,981] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 17:09:58,982] OS name = windows 10
[INFO ] [2021-06-07 17:09:58,982] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 17:13:19,711] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 17:13:25,472] Pre-condition: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 17:15:07,464] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 17:15:12,403] Pre-condition: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 17:15:12,633] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 17:15:12,633] OS name = windows 10
[INFO ] [2021-06-07 17:15:12,633] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 17:19:04,072] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 17:19:10,410] Pre-condition: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 17:19:10,617] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 17:19:10,617] OS name = windows 10
[INFO ] [2021-06-07 17:19:10,618] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 17:20:34,428] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 17:20:40,829] Pre-condition: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 17:20:40,996] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 17:20:40,996] OS name = windows 10
[INFO ] [2021-06-07 17:20:40,996] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 17:21:59,435] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 17:22:11,175] Pre-condition: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 17:22:11,362] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 17:22:11,362] OS name = windows 10
[INFO ] [2021-06-07 17:22:11,362] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 17:23:58,540] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 17:24:07,450] Pre-condition: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 17:24:07,620] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 17:24:07,620] OS name = windows 10
[INFO ] [2021-06-07 17:24:07,620] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 17:26:22,622] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 17:26:29,460] Pre-condition: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 17:26:29,636] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 17:26:29,636] OS name = windows 10
[INFO ] [2021-06-07 17:26:29,636] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 17:27:06,070] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 17:27:14,759] Pre-condition: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 17:27:16,857] Pre-condition: STEP 03 - Set login page cookie
[INFO ] [2021-06-07 17:27:16,981] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 17:27:16,982] OS name = windows 10
[INFO ] [2021-06-07 17:27:16,982] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 17:33:12,374] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 17:33:25,457] Pre-condition: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 17:33:25,584] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 17:33:25,584] OS name = windows 10
[INFO ] [2021-06-07 17:33:25,584] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 17:38:28,977] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 17:38:28,977] OS name = windows 10
[INFO ] [2021-06-07 17:38:28,977] 
[INFO ] [2021-06-07 17:39:01,069] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 17:39:07,266] Pre-condition: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 17:39:07,434] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 17:39:07,434] OS name = windows 10
[INFO ] [2021-06-07 17:39:07,434] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-06-07 17:40:37,608] Pre-condition: Initial browser driver
[INFO ] [2021-06-07 17:40:45,493] Pre-condition: STEP 01 - Home page - Click on Login link
[INFO ] [2021-06-07 17:40:45,723] Post-condition: Close browser 'Firefox'
[INFO ] [2021-06-07 17:40:45,723] OS name = windows 10
